Title,Author,Discount,Price before,Price now,Editorial,Year
 GESTIONA CON ÉXITO UN CAMBIO PROFESIONAL: EL COMPAÑERO ESENCIAL DE LOS PRIMEROS 90 DÍAS ,Michael D. Watkins,20,103000,82400,REVERTE,0
 LOS LLANOS  ,Reclasificar,20,94900,75920,ANAGRAMA,2020
 CÓMO GESTIONAR TU TIEMPO. SERIE MANAGEMENT EN 20 MINUTOS (MANAGING TIME. 20 MINUTE MANAGER. SPANISH EDITION) ,Harvard Business Review,20,52000,41600,REVERTE,0
 EL PODER DE LA BONDAD ,Dalai Lama,20,35000,28000,URANO,2021
 A CONTRACORRIENTE  ,Dan Heath,20,103000,82400,REVERTE MANAGEMENT,2021
 ERES UNA PATATA? GUÍA PARA PONERTE EN FORMA (TERAPIAS MI COACH)  ,"Easton, Jamie",20,65000,52000,EDICIONES URANO S.A.,2021
 LA VIDA SECRETA DEL NIÑO ANTES DE NACER  ,"Verny, Thomas & Kelly, Jhon",20,47000,37600,URANO,2021
 EXCELENCIA AHORA!  HUMANISMO EXTREMO (GESTIÓN DEL CONOCIMIENTO)  ,Tom Peters,20,55000,44000,EMPRESA ACTIVA,2022
 TRAFALGAR  ,Benito Perez Galdos,30,86000,60200,MALPASO EDICIONES,2022
 INTRODUCCION A LA PSICOLOGIA  ,Paul Kleinman,25,117500,88125,SIRIO,2022
 EL REY PATATA  ,Christoph Niemann,30,86000,60200,MALPASO EDICIONES,2022
 FULGOR ,Alma Mancilla,30,91000,63700,SALTO DE PAGINA,2022
 DOSTOIEVSKI EN LAS MAZMORRAS DEL ESPÍRITU (MONOGRAFÍA PSICOLOGÍA) ,Nicol&Aacute;S Caparr&Oacute;S,30,126000,88200,BIBLIOTECA NUEVA,2021
 EL ENIGMA DEL SÉPTIMO PASO (LAS TRES EDADES)  ,Tonke Dragt,10,130000,117000,SIRUELA,2007
" ULTIMA BRUJA DE TRASMOZ, LA (GRUMETES)  ",Cesar Fernandez Garcia,10,45000,40500,(088) LA GALERA (ESPAÑOL),2011
 LLENOS DE VIDA  ,John Fante,20,59900,47920,ANAGRAMA,2018
 LA MAGIA DEL AZAR  ,Lynn Lauber,40,35000,21000,URANO,2013
 VARIACIONES SOBRE EL VASO DE AGUA  ,Andrés Sánchez Robayna,20,56900,45520,GALAXIA GUTENBERG,2015
 TU PESO IDEAL PARA SIEMPRE  ,Barry Sears,10,34000,30600,BOOKS4POCKET,2016
 CANDELA Y EL REY DE PAPEL  ,,10,39000,35100,SERVILIBRO,0
 LA DRAGONA A LA QUE NO LE GUSTABA EL FUEGO ,Gemma Merino,25,73400,55050,PICARONA,0
 UN MARIDO INVENTADO  ,Julia Quinn,20,58000,46400,TITANIA,2021
 SEIS DE CUERVOS ,Leigh Bardugo,10,127000,114300,EDITORIAL HIDRA,2021
 HELENA ,Yannis Ritsos,20,94900,75920,ACANTILADO,2022
 SARAH&#39; S SCRIBBLES: UN BICHO RARO: 46 (BRIDGE) ,Sarah Andersen,10,93000,83700,BRIDGE,2021
 MAS QUE SU ALUMNA  ,Dariagne Darinet De Gracia Cordoba,30,79900,55930,SIN FRONTERAS,2022
 DIARIO DE GREG 11:  A POR TODAS!  ,Jeff Kinney,30,65000,45500,MOLINO,2016
 EL COLLAR ROJO  ,Jean-Christophe Rufin,20,38000,30400,B DE BOLSILLO,2016
 ALICIA EN SUSSEX  ,Nicolas Mahler,20,85000,68000,SALAMANDRA GRAPHIC,2019
 LA HABITACIÓN  ,Karlsson Jonas,20,69000,55200,SALAMANDRA,2017
 LA PROFUNDIDAD DEL MAR AMARILLO  ,Nic Pizzolatto,20,56000,44800,SALAMANDRA,2016
 NÁUFRAGOS  ,Pablo Pérez Monforte,20,85000,68000,SALAMANDRA GRAPHIC,2019
 ORLANDO  ,Virginia Woolf,20,90000,72000,LUMEN,2018
 LA HISTORIA DE PINGRU Y MEITANG  ,Rao Pingru,20,83000,66400,SALAMANDRA,2018
 SOMOS UNO: LEGADOS LORIEN 7  ,Pittacus Lore,10,66000,59400,RBA MOLINO,2017
 IMITACION Y EXPERIENCIA  ,Javier Goma,20,77000,61600,TAURUS,2020
 LAS PRIMERAS GRAMÁTICAS DEL NUEVO MUNDO  ,León-Portilla Ascensión H De. Y Miguel León-Portilla,30,20583,14408,FONDO DE CULTURA ECONÓMICA,2009
 LA BATALLA DE LA COLINA DE JERICÓ (LA TORRE OSCURA [CÓMIC] 5)  ,Stephen King,20,54000,43200,DEBOLSILLO,2018
 DESDE EL PAÍS DE NUNCA JAMAS  ,Alma Guillermoprieto,20,60000,48000,DEBATE,2011
 LA GRAN CASA  ,Nicole Krauss,20,69000,55200,SALAMANDRA,2016
 EL COMPLEJO DE DI  ,Dai Sijie,20,63000,50400,SALAMANDRA,2016
 LA NOCHEVIEJA DE MONTALBANO 6  ,Andrea Camilleri,20,76000,60800,SALAMANDRA,2016
 LA ISLA DE LAS BRUJAS (EL CLUB DE LOS EXPLORADORES DEL OSO POLAR 2)  ,Alex Bell,20,70000,56000,SALAMANDRA INFANTIL Y JUVENIL,2020
 CURSO DE ASTROLOGIA TOMO II  ,Azicri,25,118000,88500,KIER,2018
 CHARLIE AND THE CHOCOLATE FACTORY (LIBRO EN INGLÉS)  ,Roald Dahl,20,64900,51920,VIKING BOOKS FOR YOUNG READERS,2007
 FILOSOFIA YOGA PARA EL TRABAJO  ,"Maren Showkeir,Jamie Showkeir",40,46000,27600,EMPRESA ACTIVA,2013
" MAQUIS, ESPÍAS Y HÉROES  ",Daniel Arasa,20,44900,35920,ROBINBOOK,2013
 EL PEQUEÑO DRAGÓN COCO Y EL VAMPIRO(9788424629519)  ,Ingo Siegner,10,77000,69300,LA GALERA,0
 MANIFESTAR: 7 PASOS PARA CONSEGUIR LA VIDA DE TUS SUEÑOS  ,Roxie Nafousi,20,79000,63200,URANO,2023
 UN ESTUDIO CRÍTICO DE LA HISTORIA. TOMO II  ,Helio Jaguaribe,30,100750,70525,FONDO DE CULTURA ECONÓMICA,2002
 CORAZÓN  ,Edmondo De Amicis,10,62000,55800,AKAL,2014
" DICCIONARIO ILUSTRADO, ARQUITECTURA Y CONSTRUCCION  ",Carles Broto Comerma,10,199000,179100,LINKS BOOKS,2015
 EL AROMA DEL TIEMPO  ,Byung-Chul Han,10,75000,67500,HERDER,2015
 SIEMPRE JOVEN/ FOREVER YOUNG  ,Sally Brown,25,57600,43200,EDICIONES NOWTILUS SL,0
 LLAMANDO A TU PROPIA PUERTA: 108 ENSEÑANZAS SOBRE LA ATENCIÓN PLENA  ,Jon Kabat-Zinn,30,59000,41300,KAIROS,2008
 UNA NOCHE SIN LUNA  ,Dai Sijie,30,63917,44742,SALAMANDRA,2016
 LA CHARLA  ,Linda Rosenkrantz,20,64900,51920,ANAGRAMA,2018
 MEJORA TU VISTA EN 3 MINUTOS  ,Rui Hiramatsu,20,60000,48000,KITSUNE BOOKS,0
 EN TIERRA DE DIONISO  ,Maria Belmonte Barrenechea,20,85000,68000,ACANTILADO,2021
 LA PARCA INFINITA  ,Adam Silvera,20,84000,67200,PUCK,2022
 EXPLICAR Y COMPRENDER  ,David Pérez Chico; Luisa Paz Rodríguez Suárez,10,117000,105300,PLAZA Y VALDÉS EDITORES,2011
 EL MAYOR PETTIGREW SE ENAMORA  ,Helen Simonson,30,35750,25025,SALAMANDRA BOLSILLO,2014
 LO QUE MUEVE EL MUNDO  ,Kirmen Uribe,20,39000,31200,SEIX BARRAL,2014
 LA OCA AL PASO  ,Antonio Tabucchi,20,49900,39920,ANAGRAMA,2018
" CRÓNICAS CURIOSAS DE LOS DJS. HISTORIAS SOBRE LA EVOLUCIÓN DEL DJ, DESDE LOS INICIOS DE LA RADIO HASTA EL GARAGE, PASANDO POR EL REGGAE, EL DISCO O EL HIP ","Frank Broughton,Bill Brewster",20,59900,47920,MA NON TROPPO,2014
 EL CUARTO GIRO: EVOLUCIONANDO HACIA UN BUDISMO INTEGRAL  ,Ken Wilber,30,87000,60900,KAIROS,2016
 LA ASAMBLEA DE LOS MUERTOS  ,Tomas Barbulo,20,63000,50400,SALAMANDRA,2018
 MÍSTER 7  ,Nadia Noor,30,62000,43400,TITANIA,0
 EL TRUCO  ,Emanuel Bergmann,20,85000,68000,ANAGRAMA,2018
 INFLUENCIA Y PERSUASION  ,Harvard Business Review,20,50000,40000,REVERTE,2019
 QUIÉN SOY? ,Tristan Mory,10,101000,90900,COMBEL EDITORIAL,2019
 MI PEQUEÑO HERMANO INVISIBLE  ,Ana Pez,30,44417,31092,FONDO DE CULTURA ECONÓMICA,2016
 EL SUEÑO  ,Antonio Ventura Y Jes&Uacute;S Cisneros,30,31417,21992,FONDO DE CULTURA ECONÓMICA,2014
 EL ZURCIDOR DEL TIEMPO  ,Alicia Molina,30,19500,13650,FONDO DE CULTURA ECONOMICA,2015
 EL VIAJE LITERARIO  ,V. S. Pritchett,30,89000,62300,FONDO DE CULTURA ECONÓMICA,0
 LA DEMOCRACIA CRISTIANA EN AMÉRICA LATINA. CONFLICTOS Y COMPETENCIA ELECTORAL (POLITICA Y DERECHO  ,Mainwaring Scott Y Timothy R. Scully (Ed.),30,50917,35642,FONDO DE CULTURA ECONÓMICA,0
 HAMBURGUESAS: DESDE LA RANCHERA A LA BARBACOA HASTA LA DE SALMÓN CON MISO ,Paul Gayler,20,80000,64000,BLUME (NATURART),0
 LO QUE LA TORTUGA DICE  ,Donna Denomme,10,50000,45000,URANO,2015
 EL DULCE HOGAR DE CHI Nº 07  ,Konami Kanata,20,39000,31200,FONDO EDITORIAL,2016
 LA PROBABILIDAD DEL UNICORNIO  ,Elena Castillo Castro,10,53000,47700,TITANIA,2017
 ELIXIR DE LOS DIOSES  ,Raimon Pla Buxo,30,124000,86800,KAIRÓS,2017
 LA LIRA DE LAS MASAS (VOCES ,Martín Rodríguez-Gaona,10,92000,82800,PÁGINAS DE ESPUMA,2019
" ESPARTERO, EL PACIFICADOR ",Adrian Shubert,20,120000,96000,GALAXIA GUTENBERG,2019
 DEMOCRACIA Y GLOBALIZACION  ,Josep Maria Colomer,20,119000,95200,ANAGRAMA,2021
 EL LIBRO TIBETANO DE LOS MUERTOS ,Bardo Thodol,10,77000,69300,EDAF,0
" EL MEJOR MOMENTO ES AHORA: ENCUENTRA LA LIBERTAD, EL AMOR Y LA ALEGRÍA EN EL MOMENTO PRESENTE  ",Jack Kornfield,20,38000,30400,BOOKS4POCKET,2021
 EN EL ENJAMBRE  ,Byung-Chul Han,10,81000,72900,HERDER,2014
 OSO  ,Marian Engel,10,115000,103500,IMPEDIMENTA,2015
 HOMO DEUS: A BRIEF HISTORY OF TOMORROW (LIBRO EN INGLÉS) ,Yuval Noah Harari,20,89900,71920,HARPER PERENNIAL,2018
 WHAT IF IT'S US (LIBRO EN INGLÉS)  ,Becky Albertalli,20,74900,59920,HARPER COLLINS,2020
 DESMORIR UNA REFLEXION SOBRE LA ENFERMEDAD EN UN MUNDO CAPITALISTA ,"Boyer, Anne",10,92000,82800,SEXTO PISO,2021
 SANGRE DERRAMADA  ,Asa Larsson,20,59000,47200,SEIX BARRAL,2011
 CÁRCELES Y EXILIOS  ,Nicolás Sánchez-Albornoz,20,69900,55920,ANAGRAMA,2012
 MIS PRIMEROS AMIGOS  ,Dial Book,20,24900,19920,LIBSA,2015
 CUENTOS COMPLETOS  ,Bram Stoker,80,780172,156034,PÁGINAS DE ESPUMA,2018
 LOS GERMANOS  ,Henri Hubert,10,84900,76410,BIBLOK,2018
" ADIÓS, PARÍS ",Anstey Harris,20,73000,58400,TITANIA,2020
 LOS COLORES DEL ADIOS  ,"Schlink, Bernhard",20,119900,95920,ANAGRAMA,2022
 INTELIGENCIA FINANCIERA: LO QUE REALMENTE SIGNIFICAN LOS NUMEROS  ,"Berman, Karen",25,121300,90975,SIRIO,2022
 QUIERO SER NEGRA  ,Antjie Krog,30,107000,74900,A. MACHADO LIBROS S. A.,2020
 EL CIELO DE FRANCESCO ,Yohana Garcia,30,53000,37100,OCEANO,2019
 WINNIE Y WILBUR EN LA PLAYA  ,Valerie Thomas,30,50000,35000,OCEANO TRAVESIA,2017
 SANSÓN EN LA NIEVE  ,Philip C. Stead,30,41000,28700,LECTORUM PUBNS,2017
 LO MEJOR DE MUTTS. ANTOLOGÍA 1994  ,Patrick Mcdonnell,30,72000,50400,OCÉANO HISTORIAS GRÁFICAS,2019
 APRENDE A DIBUJAR MUJERES  ,Alvaro Muñoz,10,52000,46800,DOLMEN PUBLICACIONES,2019
 NEXUS ,Sasha Alsberg; Lindsay Cummings,30,71000,49700,GRAN TRAVESÍA,2019
 EL SOLDADITO  ,Veronica/Cristina,30,48000,33600,OCEANO TRAVESIA,2022
 COACHING DE EQUIPOS: ALTO RENDIMIENTO Y PERSONAS FELICES EN EL DEPORTE Y LA EMPRESA ,Diego Gutierrez Del Pozo; Daniel &Aacute;Lvarez Lamas,30,100000,70000,EDITORIAL FUTBOL DE LIBRO SL,2019
 LAS AVES (MÚSICA DE CONCIERTO)  ,Ana Gerhard; Cecilia Varela,30,72000,50400,OCEANO TRAVESIA,2011
 EN ESE MOMENTO EN QUE DICES ,Jerry Jampolsky,30,25000,17500,EL GRANO DE MOSTAZA,2013
 NIÑO HUEVO PERRO HUESO ,Ellen Duthie,30,43000,30100,OCEANO TRAVESIA,2020
 LA CIENCIA ESTÁ EN EL LIMÓN ,Jack Guichard; C&Eacute;Cile Jugra,30,43000,30100,OCEANO TRAVESIA,2021
 LA REVANCHA DE LAS PRINCESAS  ,Varios Autores,30,94000,65800,DOLMEN EDITORIAL,2021
 EL PROCESO DE EMERGER  ,Derek Rydall,30,72000,50400,EL GRANO DE MOSTAZA,2016
 MUERTE POR VIDEOJUEGO  ,Simon Parkin,30,101000,70700,TURNER,2016
 MAYO DEL 68: LA PALABRA ANÓNIMA  ,Nicolas Daum,30,102000,71400,A. MACHADO LIBROS S. A.,2018
 DEL UNO AL DIEZ Y AL REVES  ,Bef,30,43000,30100,OCEANO TRAVESIA,2017
 AGUDAS. MUJERES QUE HICIERON DE LA OPINION UN ARTE  ,Michelle Dean,30,116000,81200,TURNER,2019
 TRILOBITES  ,Maia F. Miret,30,62000,43400,OCÉANO TRAVESÍA,2017
 EN AGUAS TRANQUILAS  ,Viveca Sten,30,88000,61600,MAEVA EDICIONES,2016
 DOCTOR WHO EL LOCO DE LA CABINA: THE GOLDEN YEARS  ,Doc Pastor,30,62000,43400,DOLMEN EDITORIAL,2016
 EL CAMPEÓN HA VUELTO  ,J. R. Moehringer,30,66000,46200,DUOMO EDICIONES,2016
 EN BUSCA DE UNA CONFLUENCIA INTERDISCIPLINAR  ,Marti Matabosch Pijuan,30,110000,77000,EDITORIAL FUTBOL DE LIBRO SL,2018
 LA LUZ Y MONET EN GIVERNY  ,Eva Figes,30,47000,32900,MACHADO GRUPO DE DISTRIBUCIÓN,2014
 EL SEÑOR MANI  ,Abraham B. Yehoshua,30,87000,60900,DUOMO EDICIONES,2015
 PRODUCCIONES KIM JONG ,Paul Fischer,30,97000,67900,TURNER,2015
 HABIA UNA TRIBU  ,Lane Smith,30,55000,38500,OCÉANO TRAVESÍA,2016
 EL SOÑADOR  ,Pablo De Bella,30,32000,22400,FONDO DE CULTURA ECONÓMICA,2018
 DICCIONARIO OCEANO PRACTICO DE LA LENGUA ESPAÑOLA Y DE NOMBRES PROPIOS  ,Oceano,30,43000,30100,OCEANO,2002
 ELIJA AL MEJOR  ,"Alles, Martha",25,138000,103500,GRANICA,2017
 MAKE YOUR 1ST 100 MILLION DOLLERS ONLINE ( FORBIDDEN TACTICS OF MAKING MONEY ONLINE ) (LIBRO EN INGLÉS)  ,Amandeep Singh,30,60000,42000,INDEPENDENTLY PUBLISHED,2018
 REVISORIA FISCAL ORGANO SOCIAL ,Bermudez Hernandodelau,10,65000,58500,DELAU,0
 EL ABC DE LA TEMATICA COMPLEMENTARIA EN LA PROPIEDAD HORIZONTAL ,Ramirez Martha Elenadelau,10,53000,47700,DELAU,0
 METODOLOGÍA DE LA INVESTIGACIÓN PARA ADMINISTRADORES  ,Joaquín García Dihigo,10,40000,36000,EDICIONES DE LA U,2016
 LAS CATORCE MOMIAS DE BAKRÍ (GRANDES LECTORES)  ,Susana Fernández Gabaldón,10,56000,50400,EDITORIAL BAMBÚ,2007
 LOS PEORES AÑOS DE MI VIDA 2.  SACADME DE AQUÍ!  ,"James T. Patterson,Chris Tebbetts",10,77000,69300,LA GALERA,2013
 LA GRAMÁTICA DEL AMOR  ,Rocío Carmona,10,49000,44100,LA GALERA,2013
 ERASE ESTA VEZ  ,Gabriel Garcia De Oro,40,58000,34800,URANO,2013
 DISPARADORES: CÓMO CAMBIAR TU CONDUCTA PARA SER LA PERSONA QUE QUIERAS SER  ,Marshall Goldsmith,10,64000,57600,EMPRESA ACTIVA,2016
 LACOMBE LUCIEN  ,Patrick Modiano,20,75000,60000,ANAGRAMA,2018
 90 TECNICAS DE COMUNICACION Y RELACIONES  ,Manuel Palencia Lefler Ors,25,229800,172350,BRESCA (PROFIT EDITORIAL),2018
 FUENTE OVEJUNA  ,Lope De Vega,20,29900,23920,MESTAS,2014
 EMBARAZO Y PARTO: GUÍA PRÁCTICA DE SALUD PARA LA EMBARAZADA Y EL BEBÉ  ,Estela Davila,20,49900,39920,LIBSA,2014
 AZÚCAR. EL ENEMIGO INVISIBLE  ,Miguel Ángel Almodóvar Martín,20,69900,55920,ARPA EDITORES,2017
 PRODUCE Y DISTRIBUYE TU MÚSICA ONLINE ,Aina Ramis Plomer,20,72000,57600,MA NON TROPPO,2019
 LA MAGIA DE LOS NUMEROS  ,Jordi Deulofeu,10,49000,44100,GEDISA,2019
 CALAIS  ,Emmanuel Carrère,20,44900,35920,ANAGRAMA,2018
 TODO TIENE SU TIEMPO ,Quint Buchholz,10,75000,67500,LÓGUEZ EDICIONES,2020
 EL LECHO DE PROCUSTO  ,Camil Petrescu,10,63000,56700,GADIR,2007
 ALIVIE SUS DOLORES CON LA PRESIÓN DE UN DEDO: UNA GUÍA IMPRESCINDIBLE PARA CURAR Y ALIVIAR SUS AFECCIONES Y DISFRUTAR DE UNA EXCELENTE CALIDAD DE VIDA  ,Roger Dalet,20,49900,39920,ROBINBOOK,2012
 DIME QUE TE PASA Y TE DIRE QUE PELI VER  ,"Lara/ Sanchez, Sandra Malvesi",20,39900,31920,MA NON TROPPO,2015
 LOS SEIS FINALSITAS (FICCIÓN JUVENIL)  ,Alexandra Monir,30,83000,58100,DEL NUEVO EXTREMO,2019
 UN DÍA EN LA VIDA DE UN EDITOR  ,Jorge Herralde,20,69900,55920,ANAGRAMA,2019
 EL MISTERIO DE ARDLAMONT: EL CASO QUE DIO INICIO A LA CRIMINALÍSTICA MODERNA EN TIEMPOS DE SHERLOCK HOLMES (ENSAYO)  ,Daniel Smith,10,59900,53910,GRUPO SIN  FRONTERAS,2018
 EL ARTE DE LA GUERRA: EL INFLUYENTE TRATADO SOBRE ESTRATEGIA MILITAR (FILOSOFÍA)  ,Sun Tzu,10,39000,35100,DEL NUEVO EXTREMO,2018
 SANA A TUS ANTEPASADOS PARA SANAR TU VIDA  ,Shelley A. Kaehr,20,60000,48000,KEPLER,2022
 UN ASEDIO DE CIELOS ROJOS (LIGADOS AL CIELO 2)  ,Alex London,20,66000,52800,PUCK,2022
 DERROCHE (MAPA DE LAS LENGUAS)  ,Maria Sonia Cristoff,20,57000,45600,LITERATURA RANDOM HOUSE,2023
 GUERRAS QUE CAMBIARON AL MUNDO  ,Carlos Alberto Patiño,20,67000,53600,DEBATE,2013
 NOVELAS EJEMPLARES  ,Miguel De Cervantes Saavedra,20,39900,31920,CASTALIA EDICIONES,2012
 MANDALAS Y YANTRAS: HACIA LA SERENIDAD Y LA PAZ INTERIOR (NO FICCIÓN)  ,Suri Prakaza-Yagat,30,52000,36400,DNX ESPAÑA,2020
 LOS ABSOLUTOS: EL LEGADO  ,Hermanas Greemwood,30,97000,67900,DEL NUEVO EXTREMO,2020
" POR QUÉ EL BUEN SEXO ES IMPORTANTE: COMPRENDER LA NEUROCIENCIA DEL PLACER PARA POTENCIAR LA INTELIGENCIA, LA FELICIDAD Y EL SENTIDO VITAL (URANO DIVULGACIÓN)  ",Nan Wise,20,69000,55200,URANO,2021
 EL ARTE DE LA GUERRA: UNA NUEVA VERSIÓN DE MICHAEL NYLAN (MONOGRAFÍAS) ,Sun Tzu,20,90000,72000,REVERTÉ MANAGEMENT,2021
 CAPITALISMO CONSCIENTE  ,Mackey John; Sisodia Rajendra,20,66000,52800,EMPRESA ACTIVA,2021
 DESPIERTA A LAS DIOSAS QUE HAY EN TI ,Sophie Bashford,25,88200,66150,SIRIO,2019
 YO ABRO LA PUERTA A LA ABUNDANCIA ,Claudia Rainville,25,84500,63375,EDITORIAL SIRIO,2020
" VIBRAR EN POSITIVO, VIVIR EN POSITIVO: EL AMOR A TI MISMO ES LA CLAVE PARA DESVELAR TU GRANDEZA ",Vex King,25,81600,61200,SIRIO,2020
 ORGULLO Y PREJUICIO  ,Jane Austen,10,86900,78210,PLUTÓN EDICIONES,2020
 MITOLOGÍA AZTECA: UN PUEBLO DE LEYENDA (SERIE MYTHOS) ,Javier Tapia,10,47900,43110,PLUTÓN EDICIONES,2021
 LOS COLORES DEL INCENDIO (LOS HIJOS DEL DESASTRE 2)  ,Pierre Lemaitre,20,79000,63200,SALAMANDRA,2019
 CUENTOS PARA NIÑOS QUE SE ATREVEN A SER DIFERENTES  ,Ben Brooks,20,75000,60000,AGUILAR,2018
 SEIS CUATRO  ,Hideo Yokoyama,20,72000,57600,SALAMANDRA,2021
 SOBRE LA BELLEZA  ,Zadie Smith,10,75000,67500,SALAMANDRA,2019
 MINICONEJO NO SE HA PERDIDO  ,John Bond,20,49000,39200,EDELVIVES,2018
 HASTA LUEGO!  ,Thierry Bedouet,20,54900,43920,EDELVIVES,2017
 LAS HADAS  ,Libros De Sébastien Pérez,20,149900,119920,EDITORIAL LUIS VIVES (EDELVIVES),0
" NO LLORES, PEQUEÑO  ",Ngugi Wa Thiong'O,20,69000,55200,KAILAS,2017
 PONETE BONITO  ,Juan Tesoro,30,54900,38430,GRUPO SIN FRONTERAS,2021
 CÓMO APLICAR LA INTELIGENCIA ESPIRITUAL EN EL TRABAJO  ,Emily Bennington,30,60000,42000,EL GRANO DE MOSTAZA,2017
 LAS LEGIONES MALDITAS (TRILOGÍA AFRICANUS 2)  ,"Posteguillo, Santiago",20,57000,45600,B DE BOLSILLO,2022
 HARRY POTTER Y LA ORDEN DEL FÉNIX (EDICIÓN SLYTHERIN DEL 20º ANIVERSARIO) (HARRY POTTER 5)  ,J. K. Rowling,20,139000,111200,SALAMANDRA INFANTIL Y JUVENIL,2022
 EL PRINCIPITO. UN LIBRO CARRUSEL  ,Antoine De Saint-Exupéry,20,79000,63200,SALAMANDRA INFANTIL Y JUVENIL,2022
 JUSTO ANTES DEL FINAL  ,"Monge, Emiliano",20,67000,53600,LITERATURA RH,2022
 LA OVEJITA VA AL MERCADO (PEQUEÑAS MANITAS)  ,"Smallman, Steve/Dreidemy, Joelle",20,35000,28000,BEASCOA,2022
 EL PEQUEÑO PIGMEO  ,Cyril Hahn,20,35000,28000,LUIS VIVES EDITORIAL,2003
 FUERE DE SERIE  ,Malcolm Gladwell,20,64000,51200,TAURUS,2019
 RITUALES PRÁCTICOS PARA LA MAGIA DE AMOR  ,Catherine Bermond,10,29900,26910,KARMA.7.,0
 MISTERIOS DEVELADOS  ,Conny Mendez,25,55000,41250,EDICIONES GILUZ,2016
 GALANES INMADUROS ENTRE EL SEXTING Y EL VIAGRA  [PROLOGO DE MASSIMO RECALCATI] ,"Lutereau, Luciano",80,12787,2557,LETRAS DEL SUR,2020
" BIOGRAFÍA DEL PODER, 2: FRANCISCO I. MADERO, MÍSTICO DE LA LIBERTAD  ",Krauze Enrique,30,26000,18200,FONDO DE CULTURA ECONÓMICA,0
 LAS ILUSIONES DEL 11 DE SEPTIEMBRE. EL DEBATE ESTRATÉGICO FRENTE AL TERRORISMO  ,Roy Olivier,30,14000,9800,FONDO DE CULTURA ECONOMICA USA,2003
 EN EL LÍMITE  ,Cross Gillian,30,19500,13650,FONDO DE CULTURA ECONÓMICA,2000
 PAPÁ ESCAPÓ CON EL CIRCO  ,Etgar Keret,30,22000,15400,FONDO DE CULTURA ECONÓMICA,2005
 EL LASER  ,Aboites Vicente,30,16250,11375,FONDO DE CULTURA ECONÓMICA,0
 EL PENSAMIENTO DE PLATON  ,Juan Nuño,30,49833,34883,FONDO DE CULTURA ECONOMICA,2007
 LAS AVENTURAS DE MAX Y SU OJO SUBMARINO  ,Luigi Amara,30,36833,25783,FONDO DE CULTURA ECONÓMICA,2007
 A LA CAZA DEL LEON RUGIENTE ,Luis Eduardo Cortina,30,12900,9030,MELQUIADES,2005
 MÁS ALLÁ DEL INFORTUNIO  ,Camilo Rincón,30,12900,9030,CALIXTA EDITORES,0
 SUPERA EL INSOMNIO EN UNA SEMANA  ,Jason Ellis,30,60000,42000,URANO,2018
 NUEVA ENCICLOPEDIA DE LA FRANCMASONERIA  ,Arthur Edwar Waite,25,239700,179775,OBELISCO,2018
 MI PEQUEÑO CUADERNO MONTESSORI  ,"Sylvie D Esclaibes,Noemie D Esclaibes",30,47000,32900,TERAPIAS VERDES,2019
 ERASE UNA VEZ UN SOLDADO  ,Mary Jo Putney,30,59000,41300,TITANIA,2019
 GUIA PARA SUPERAR LOS PENSAMIENTOS ATEMORIZANTES OBSESIVOS O INQUIETANTES  ,"Sally M. Winston, Martín N. Seif",25,88200,66150,SIRIO,2019
 LA LISTA DE LA LONGEVIDAD  ,Dr. Merlin Thomas,25,114200,85650,SIRIO,2019
" NIÑOS SENSIBLES, NIÑOS FELICES  ",Saverio Tomasella,25,81600,61200,SIRIO,2019
 MAS ALLA DEL INFIERNO  ,Laura Bozzo Rotondo,30,58000,40600,INDICIOS,2018
 COMO NO TENER UN ATAQUE AL CORAZON  ,Fabien Guez,30,60000,42000,URANO,2018
 CONTAMINACIÓN ATMOSFÉRICA ,Carlos Alberto Echeverri Londoño,10,129000,116100,EDICIONES DE LA U,2019
" DEFICIT DE ATENCION SIN FARMACOS, EL (2ª ED. )  ",Gladys Veracoechea Troconis,10,99399,89459,PSIMATICA,2012
" MODELOS ESTADÍSTICOS LINEALES, CON APLICACIONES EN R  ",Cristian Fernando Tellez- Maria Alfonso Morales,10,62000,55800,EDICIONES DE LA U,2016
 INDICADORES DE GESTION MANUAL BASICO DE APLICACION PARA MIPYMES  ,Gustavo Garc&Iacute;A Cediel,10,31000,27900,EDICIONES DE LA U,2016
 FINANZAS PÚBLICAS. PARA UNA MEJOR GESTIÓN DE LOS RECURSOS  ,Enrique Romero Romero,10,48000,43200,EDICIONES DE LA U,2019
 LA ALQUIMIA DE LA PROSPERIDAD: LOS SECRETOS DE ECONOMÍA DOMÉSTICA DE UN ASESOR DE GRANDES FORTUNAS (CRECIMIENTO PERSONAL)  ,Ferran Martinez,40,50000,30000,URANO,2014
 COMUNICATE COMO UN BUDISTA  ,Cynthia Kane,10,57000,51300,URANO,2017
 EL SECRETO DEL CALDO DE HUESOS CURATIVO  ,Louise L. Hay,30,106000,74200,URANO,2017
 MIS REFLEXIONES SOBRE HO'OPONOPONO  ,Mabel Katz,25,77900,58425,SIRIO,2015
 ORGANIZATE CON EFICACIA  ,David Allen,20,69000,55200,EMPRESA ACTIVA,2015
 CORAZONES DE ACERO  ,Maria Jose Tirado,10,69000,62100,TITANIA,2016
 LOS SECRETOS DE SIR RICHARD KENWORTHY  ,Julia Quinn,10,63000,56700,TITANIA,2016
 ALIMENTACION CONSCIENTE  ,Suzanne Powell,25,65300,48975,SIRIO,2014
