Title,Author,Discount,Price before,Price now,Editorial,Year
 ANTES DE DICIEMBRE  ,Joana Marcús,20,65000,52000,MONTENA,2021
 HARRY POTTER Y LA PIEDRA FILOSOFAL  ,J. K. Rowling,20,75000,60000,SALAMANDRA INFANTIL Y JUVENIL,2022
 LOS 7 HÁBITOS DE LA GENTE ALTAMENTE EFECTIVA  ,Stephen R. Covey,20,59000,47200,BOOKET,2014
 EL ARTE DE LA SEDUCCION   ,Robert Greene,30,95000,66500,OCEANO,2014
 LA CORTE DEL ECLIPSE  ,Claudia Ramírez Lomelí,20,79000,63200,PLANETA,2022
 MEDITACIONES  ,Marco Aurelio,20,29900,23920,TAURUS,2017
 PACK CRÓNICA DE DUNE  ,Frank Herbert,40,199000,119400,,2022
 LA CUADRA  ,Gilmer Mesa,20,54000,43200,PENGUIN RANDOM HOUSE,2017
 LADY MASACRE  ,Mario Mendoza,20,55000,44000,GRUPO PLANETA,2021
 DULCE MALDAD ,Jessica Rivas,20,39000,31200,GRUPO PLANETA,0
 HARRY POTTER Y LA PIEDRA FILOSOFAL  (HARRY POTTER 1)  ,J. K. Rowling,20,47000,37600,SALAMANDRA BOLSILLO,2020
 LA CIUDAD DE VAPOR  ,Carlos Ruiz Zafón,20,29000,23200,PLANETA,2020
 AMAR O DEPENDER?  ,Walter Riso,20,45000,36000,PLANETA,2019
 UNO SIEMPRE CAMBIA EL AMOR DE SU VIDA POR OTRO AMOR O POR OTRA VIDA ,Amalia Andrade,20,89000,71200,PLANETA,2020
 LEJOS DE LUISIANA ,Luz Gabás,20,85000,68000,EDITORIAL PLANETA,2022
 TRAVESURAS DE LA NIÑA MALA  ,Mario Vargas Llosa,20,52000,41600,DEBOLSILLO,2015
 BRATVA  ,Gleen Black,30,64900,45430,SIN FRONTERAS GRUPO EDITORIAL,2022
 EL PRINCIPITO  ,Antoine De Saint-Exupery,20,54000,43200,SALAMANDRA INFANTIL Y JUVENIL,2022
 JOY 2 ,Etsuko,20,45000,36000,DISTRITO MANGA,2023
 HARRY POTTER Y LAS RELIQUIAS DE LA MUERTE  (HARRY POTTER 7)  ,J. K. Rowling,20,59000,47200,SALAMANDRA BOLSILLO,2020
 DINERO: DOMINA EL JUEGO  ,Tony Robbins,20,75000,60000,PAIDOS,2022
 EL PRINCIPITO EDICION DE LUJO  ,Antoine De Saint-Exupéry,20,55000,44000,EMECE,2013
 LO QUE NO TIENE NOMBRE  ,Piedad Bonnett,20,57000,45600,ALFAGUARA,2013
 EL CAMINO DE LAS LAGRIMAS (QUINTA EDICION) ,Jorge Bucay,30,59000,41300,OCEANO,2022
 EL ECONOMISTA CALLEJERO  ,Axel Kaiser,20,49000,39200,ARIEL,2022
 DIABETES SIN PROBLEMAS  ,Frank Suarez,20,65000,52000,DISTRIBUCION,2016
 COSAS QUE PIENSAS CUANDO TE MUERDES LAS UÑAS  ,Amalia Andrade,20,89000,71200,PLANETA,0
 LOS COMPAS PACK  , Mikecrack,45,150400,82720,PLANETA,0
 EL HOBBIT. UNA GRAN PRODUCCIÓN CINEMATOGRÁFICA (EDICIÓN DE BOLSILLO)  ,J. R. R. Tolkien,20,52000,41600,BOOKET,2015
 LA INSOPORTABLE LEVEDAD DEL SER  ,Milan Kundera,20,69000,55200,TUSQUETS,2014
 LAS CLAVES DEL ÉXITO DE TOYOTA  ,Jeffrey K. Liker,20,79000,63200,PAIDOS EMPRESAS COLOMBIA,2018
" SPUTNIK, MI AMOR  ",Haruki Murakami,20,52000,41600,TUSQUETS,2016
 DOPAMINA  ,Michael E. Long,20,69000,55200,GRUPO PLANETA,2022
 CIEN AÑOS DE SOLEDAD (EDICIÓN ILUSTRADA)  ,Gabriel García Márquez,20,109000,87200,LITERATURA RANDOM HOUSE,2021
 LA CIENCIA DE HACERSE RICO ,Wallace D. Wattles,30,26000,18200,EDITORIAL SKLA,2021
 MANUAL DE REDACCION EL TIEMPO ,Sin Autor,30,47900,33530,CIRCULO DE LECTORES,2017
 DEAD EVER AFTER (LIBRO EN INGLÉS)  ,Charlaine Harris,80,29900,5980,ACE,2014
 UN MUNDO FELIZ ,Aldous Huxley,30,12143,8500,SKALA,0
 ODISEA ,Homero,30,17000,11900,VALENCIA QUINTERO JORGE JAVIER,0
 A TRAVÉS DE TI  ,Ariana Godoy,20,62000,49600,MONTENA,2021
 PACK HÁBITOS  ,James Clear,45,107000,58850,PLANETA,2022
 LIDERAZGO ,"Kissinger, Henry",20,89000,71200,DEBATE,2023
 EL CLUB DE LAS 5 DE LA MAÑANA  ,Robin Sharma,20,59000,47200,GRIJALBO,2019
 COLOMBIAN PSYCHO  ,Santiago Gamboa,20,72000,57600,ALFAGUARA,2021
 SALVO MI CORAZON TODO ESTA BIEN  ,Hector Abad Faciolince,20,64000,51200,ALFAGUARA,2022
 EL HOMBRE QUE PERSEGUÍA SU SOMBRA  ,David Lagercrantz,20,29000,23200,GRUPO PLANETA,2017
 MUGRE ROSA (MAPA DE LAS LENGUAS)  ,Fernanda Trías,20,59000,47200,LITERATURA RANDOM HOUSE,2021
 EL SINSENTIDO COMÚN  ,Borja Vilaseca,20,46000,36800,DEBOLSILLO,2021
" MUCHAS VIDAS, MUCHOS MAESTROS  ",Brian Weiss,20,45000,36000,B DE BOLSILLO,2018
